,"G&J Steel & Tubing, Inc",,,,,DATA SHEET,,,,,,Sheet ,1
,"301 Roycefield Road                 Hillsborough, NJ 08844",,,,,Quote,,In Proc,,1st Article,,of,1
,908-526-4445                                Fax 908-526-9487,,,,,Incoming,XXX,Final,,Other ,,,
,,,,,,,,,,,,,
Part #,A513-10200-011,,,Heat,C541910,Quantity,145 ft,Supplier,McKnight Steel & Tube ,,,PO #,96345
Operation,,,Job # ,,,Customer,,,,Customer PO#,,,
Sampling Plan,,n = 10,c = 0,Lot Disposition,,Approved,,,,By:,JC,Date  ,2026-05-19 00:00:00
,,,,,,,,,,,,,
Find # >,OD,Wall,,,,,,,,,,,
Max. Spec. ,0.442,0.0539,,,,,,,,,,,
MEAN,0.437,0.049,,,,,,,,,,,
Min. Spec.,0.432,0.0441,,,,,,,,,,,
1,0.439,0.05,,,,,,,,,,,
2,0.439,0.052,,,,,,,,,,,
3,0.44,0.051,,,,,,,,,,,
4,0.44,0.052,,,,,,,,,,,
5,0.44,0.051,,,,,,,,,,,
6,0.439,0.05,,,,,,,,,,,
7,0.44,0.05,,,,,,,,,,,
8,0.44,0.051,,,,,,,,,,,
9,0.439,0.05,,,,,,,,,,,
10,0.44,0.049,,,,,,,,,,,
,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,
